Grosor,Peso,Diametro,Etiqueta,Sabor
"0,4",12,6,3,0
"0,4",11,"6,4",3,0
"0,4",12,"6,4",3,0
"0,4",11,"6,3",3,0
"0,4",11,"6,4",3,0
"0,4",11,"6,4",3,0
"1,2",8,4,1,0
"1,3",8,4,1,0
"1,2",8,"4,4",1,0
"1,2",8,"4,2",1,0
"1,2",6,"4,4",1,0
"0,3",3,"4,5",2,1
"0,3",3,"4,4",2,1
"0,2",3,"4,5",2,1
"0,3",3,"4,4",2,1
"0,2",3,"4,4",2,1
"0,2",3,"4,4",2,1
"0,3",3,"4,4",2,1
"0,2",3,"4,4",2,1
"0,2",3,"4,4",2,1
"0,2",3,"4,4",2,1
"0,2",4,"5,2",0,0
"0,2",5,"5,1",0,0
"0,2",5,"5,2",0,0
"0,2",5,"5,2",0,0
"0,2",5,"5,2",0,0
"0,2",5,"5,2",0,0
"0,2",5,"5,2",0,0
"0,2",5,"5,2",0,0
"0,2",5,"5,2",0,0
"0,5","11,34","6,5",3,0
"0,3",3,"4,2",2,1
"0,7",8,"4,3",1,0
"0,9","7,5",4,1,0
"0,6",11,"6,5",3,0
"0,4","2,5","4,5",2,1
"0,3",3,"4,3",2,1
"0,4",3,"4,3",2,1
"0,4",11,6,3,0
"0,3",3,"4,5",2,1
"0,4",3,"4,4",2,1
"0,4",3,"4,4",2,1
"0,4",3,"4,5",2,1
"0,4",3,"4,4",2,1
"0,4",3,"4,3",2,1
"0,4",3,"4,5",2,1
"0,4",3,"4,4",2,1
"0,5","2,5","4,5",2,1
"0,4","2,5","4,4",2,1
"0,3","3,5","5,2",0,0
"0,4","3,5","5,2",0,0
"0,4",4,"5,2",0,0
"0,4",4,5,0,0
"0,3","3,5",5,0,0
"0,3","3,5","5,1",0,0
"0,3",4,"4,3",0,0
"0,4",4,5,0,0
"0,4","3,5","5,1",0,0
"0,4","3,5","5,2",0,0
"0,3",4,"5,2",0,0
"0,2",4,"5,3",0,0
"1,3",8,4,1,0
"0,3",3,"4,5",2,1
"0,4",11,"6,3",3,0
"0,45",11,"6,4",3,0
"0,2",4,"5,3",0,0
"1,3",8,"4,5",2,0
"0,2",4,"5,3",0,0
"0,3",3,"4,5",2,1
"0,3",3,"4,5",2,1
"0,7",11,"6,4",3,0
"0,2",4,"5,2",0,0
"1,3",8,"4,2",1,0
"0,3",3,"4,5",2,1
"0,4",11,"6,2",3,0
"0,4",11,"6,3",3,0
"0,2",4,"5,2",0,0
"1,3",8,"4,2",1,0
"0,2",4,"5,2",0,0
"0,3",3,"4,4",2,1
"0,3",3,"4,5",2,1
"0,4",11,"6,3",3,0
"0,2",4,"5,2",0,0
"1,4",8,"4,1",1,0
"0,3",3,"4,4",2,1
"0,4",11,"6,2",3,0
"0,4",11,"6,3",3,0
"0,2",4,"5,2",0,0
"1,3",8,"4,2",1,0
"0,2",4,"5,2",0,0
"0,3",3,"4,4",2,1
"0,4",3,"4,6",2,1
"0,4",11,"6,2",3,0
"0,3",4,"5,1",0,0
"0,3",4,"5,1",0,0
"0,3",4,"5,1",0,0
"0,3",4,"5,2",0,0
"0,3",4,"5,1",0,0
"0,3",4,"5,1",0,0
"0,3",4,"5,2",0,0
"0,3",4,"5,1",0,0
"1,3",9,"4,4",1,0
"1,3",9,"4,4",1,0
"1,4",10,"4,4",1,0
"1,3",10,"4,4",1,0
"1,4",9,"4,3",1,0
"1,3",9,"4,4",1,0
"1,3",9,"4,4",1,0
"1,3",10,"4,4",1,0
"0,4",3,"4,4",2,1
"0,4",3,"4,4",2,1
"0,4",3,"4,4",2,1
"0,4",3,"4,4",2,1
"0,4",3,"4,4",2,1
"0,4",3,"4,4",2,1
"0,4",3,"4,4",2,1
"0,4",3,"4,4",2,1
"0,6",12,"6,6",3,0
"0,5",12,"6,6",3,0
"0,6",11,"6,6",3,0
"0,6",12,"6,6",3,0
"0,6",12,"6,6",3,0
"0,5",12,"6,6",3,0
"0,6",1,"6,6",3,0
"0,6",12,"6,6",3,0
"0,3",4,"5,1",0,0
"0,3",4,"5,1",0,0
"0,3",4,"5,1",0,0
"0,3",4,"5,2",0,0
"0,3",4,"5,1",0,0
"0,3",4,"5,1",0,0
"0,3",4,"5,2",0,0
"0,3",4,"5,1",0,0
"1,3",9,"4,4",1,0
"1,3",9,"4,4",1,0
"1,4",10,"4,4",1,0
"1,3",10,"4,4",1,0
"1,4",9,"4,3",1,0
"1,3",9,"4,4",1,0
"1,3",9,"4,4",1,0
"1,3",10,"4,4",1,0
"0,4",3,"4,4",2,1
"0,4",3,"4,4",2,1
"0,4",3,"4,4",2,1
"0,4",3,"4,4",2,1
"0,4",3,"4,4",2,1
"0,4",3,"4,4",2,1
"0,4",3,"4,4",2,1
"0,4",3,"4,4",2,1
"0,6",12,"6,6",3,0
"0,5",12,"6,6",3,0
"0,6",11,"6,6",3,0
"0,6",12,"6,6",3,0
"0,6",12,"6,6",3,0
"0,5",12,"6,6",3,0
"0,6",1,"6,6",3,0
"0,6",12,"6,6",3,0
"0,5",4,"5,1",0,0
"0,5",3,"5,2",0,0
"0,5",4,"5,2",0,0
"0,5",4,"5,2",0,0
"0,5",4,"5,1",0,0
"0,35",4,"5,1",0,0
"0,5",4,"5,2",0,0
"0,5",4,"5,2",0,0
"0,5",4,"5,1",0,0
"0,5",4,"5,2",0,0
"0,5",4,"5,2",0,0
"0,5",3,"5,2",0,0
"0,5",4,"5,2",0,0
"0,5",4,"5,2",0,0
"0,5",4,"5,2",0,0
"0,5",3,"5,3",0,0
"0,5",4,"5,2",0,0
"0,45",4,"5,2",0,0
"0,5",4,"5,2",0,0
"0,5",4,"5,2",0,0
"0,5",4,"5,1",0,0
"0,5",4,"5,1",0,0
"0,5",3,"5,2",0,0
"0,45",3,"5,2",0,0
"0,5",4,"5,2",0,0
"0,5",4,"5,1",0,0
"0,5",3,"5,1",0,0
"0,5",3,"5,1",0,0
"0,5",4,"5,2",0,0
"0,5",4,"5,2",0,0
"0,5",4,"5,2",0,0
"0,5",4,"5,2",0,0
"0,5",4,"5,2",0,0
"0,5",4,"5,1",0,0
"0,5",4,"5,2",0,0
"0,5",4,"5,2",0,0
"0,5",4,"5,2",0,0
"0,45",4,"5,2",0,0
"0,5",4,"5,2",0,0
"1,5",8,"4,2",1,0
"1,35",8,"4,3",1,0
"1,4",8,"4,3",1,0
"1,35",8,"4,4",1,0
"0,5",3,"4,4",2,1
"0,5",3,"4,4",2,1
"0,5",3,"4,4",2,1
"0,5",3,"4,5",2,1
"0,5",3,"4,5",2,1
"0,5",3,"4,4",2,1
"0,55",3,"4,5",2,1
"0,55",3,"4,5",2,1
"0,5",3,"4,4",2,1
"0,55",3,"4,4",2,1
"0,5",3,"4,5",2,1
"0,5",3,"4,5",2,1
"0,5",3,"4,5",2,1
"0,55",3,"4,5",2,1
"0,5",3,"4,5",2,1
"0,5",3,"4,5",2,1
"0,5",3,"4,5",2,1
"0,55",3,"4,5",2,1
"0,5",3,"4,5",2,1
"0,5",3,"4,5",2,1
"0,5",3,"4,5",2,1
"0,5",3,"4,5",2,1
2,3,"5,1",0,0
3,3,5,0,0
3,4,5,0,0
2,3,5,0,0
3,3,5,0,0
3,4,5,0,0
3,4,5,0,0
3,4,5,0,0
4,4,"4,9",0,0
3,3,5,0,0
3,5,"5,1",0,0
3,4,5,0,0
3,4,5,0,0
3,5,5,0,0
3,3,5,0,0
3,3,5,0,0
3,3,"5,2",0,0
3,3,"4,9",0,0
3,3,49,0,0
3,3,"5,1",0,0
3,3,5,0,0
4,3,5,0,0
4,4,5,0,0
3,3,"5,1",0,0
3,3,5,0,0
4,4,"5,1",0,0
4,3,"5,1",0,0
3,3,"4,9",0,0
3,3,"5,1",0,0
3,3,5,0,0
"0,2",4,"5,2",0,0
"1,1",8,"4,4",1,0
"0,3",3,"4,5",2,1
"0,4",11,6,3,1
"0,3",3,"4,3",2,0
"0,4",2,"4,5",2,0
"0,3",4,"4,5",2,0
"0,3",3,"4,5",2,0
"0,3",3,"4,4",2,0
"0,3",2,"4,5",2,0
"0,3",3,"4,5",2,0
"0,3",3,"4,6",2,0
"0,3",3,"4,5",2,0
"0,2",3,"4,5",2,0
"0,3",3,"4,4",2,0
"0,3",3,"4,5",2,0
"0,3",3,"4,5",2,0
"0,3",3,"4,5",2,0
"0,3",3,"4,5",2,0
"0,3",3,"4,6",2,0
"0,3",3,"4,5",2,0
"0,3",4,"5,2",0,1
"0,2",4,"5,1",0,1
"0,2",3,"5,2",0,1
"0,3",4,"5,1",0,1
"1,1",8,"4,4",1,1
"1,2",8,"4,4",1,1
"1,2",8,"4,5",1,1
"1,2",8,"4,5",1,1
"1,2",9,"4,5",1,1
"0,5",11,"6,2",3,1
"0,4",11,"6,4",3,1
"0,4",11,"6,5",3,1
"0,5",11,"6,5",3,1
"0,5",11,"6,4",3,1
3,4,"5,2",0,0
3,3,"5,2",0,0
3,3,"5,2",0,0
3,4,"5,2",0,0
"3,48",3,"5,2",0,0
"3,25",4,"5,2",0,0
"3,78",4,"5,2",0,0
"3,44",3,"5,2",0,0
3,4,"5,3",0,0
"3,5",3,"5,3",0,0
"3,49",4,"5,3",0,0
"3,27",4,"5,3",0,0
3,4,"5,2",0,0
"3,2",3,"5,2",0,0
3,4,"5,2",0,0
3,3,"5,2",0,0
3,3,"5,3",0,0
3,3,"5,2",0,0
3,4,"5,2",0,0
3,3,"5,2",0,0
3,3,"5,2",0,0
3,3,"5,1",0,0
"3,1",3,"5,1",0,0
"1,3",8,"4,2",1,0
"1,3",7,"4,4",1,0
"1,4",7,"4,6",1,0
"1,4",7,"4,6",1,0
"1,3",8,"4,5",1,0
"1,4",8,"4,5",1,0
"1,4",8,"4,3",1,0
"1,4",8,"4,4",1,0
"1,4",8,"4,4",1,0
"1,3",8,"4,4",1,0
"1,4",8,"4,5",1,0
"1,4",8,"4,4",1,0
"1,4",9,"4,5",1,0
"1,4",8,"4,5",1,0
"1,4",8,"4,5",1,0
"1,4",8,"4,3",1,0
"1,4",8,"4,3",1,0
"1,4",7,"4,5",1,0
"1,4",8,"4,5",1,0
"1,4",8,"4,5",1,0
"1,4",8,"4,5",1,0
"0,5",3,"4,5",2,0
"0,5",3,"4,5",2,0
"0,5",3,"4,6",2,0
"0,5",3,"4,5",2,0
"0,5",2,"4,6",2,0
"0,5",3,"4,6",2,0
"0,5",2,"4,55",2,0
"0,5",2,"4,55",2,0
"0,5",3,"4,55",2,0
"0,5",3,"4,6",2,0
"0,5",3,"4,6",2,0
"0,5",2,"4,6",2,0
"0,5",2,"4,55",2,0
"0,5",3,"4,5",2,0
"0,5",3,"4,6",2,0
"0,5",2,"4,5",2,0
"0,5",2,"4,6",2,0
"0,5",2,"4,6",2,0
"0,5",2,"4,5",2,0
"0,5",3,"4,5",2,0
"0,5",3,"4,5",2,0
"0,5",3,"4,5",2,0
"0,5",2,"4,6",2,0
"0,5",3,"4,5",2,0
"0,5",3,"4,6",2,0
"0,5",3,"4,6",2,0
"0,4",12,"6,4",3,1
"0,6",11,"6,3",3,1
"0,7",11,"6,3",3,1
"0,7",11,"6,5",3,1
"0,6",10,"6,4",3,1
"0,7",10,"6,4",3,1
